V_0,T,M,P,C_P,C_T,omega,pitch,RPM,Pitch
3.0,270900.6077451586,144281.5104655909,75545.80353074985,0.10097831579548162,1.0862980803537559,0.5236000322353602,2.245747342857143,5.000012,2.245747342857143
3.5,373839.0623490236,533680.068047388,279434.90083298157,0.2352112320393624,1.1013621119660577,0.5236000322353602,1.875362314285714,5.000012,1.875362314285714
4.0,466677.31380876957,1145182.8391821608,599617.7715111608,0.3381240515226328,1.0526360731506985,0.5236000322353602,1.5049772857142854,5.000012,1.5049772857142854
4.5,564667.1471069815,1942133.9009143077,1016901.3731241174,0.40273820919443987,1.0063499640399152,0.5236000322353602,1.1345922571428568,5.000012,1.1345922571428568
5.0,666239.4659572927,2932817.7119712266,1535623.4485285697,0.4433597506778132,0.9617714674830625,0.5236000322353602,0.7642072285714281,5.000012,0.7642072285714281
5.5,760869.1231224017,4130401.3679749416,2162678.2894166554,0.46912156147841755,0.907749719764818,0.5236000322353602,0.5536144857142853,5.000012,0.5536144857142853
6.0,855599.8002643947,5500759.008499785,2880197.5941694356,0.4812270977087536,0.8577282534676035,0.5236000322353602,0.3430217428571425,5.000012,0.3430217428571425
6.5,949182.1076041798,7032741.764313516,3682343.814497521,0.48391134911130784,0.810782510537313,0.5236000322353602,0.13242899999999969,5.000012,0.13242899999999969
7.0,1042521.427508138,8751070.164736392,4582060.620349874,0.4821123455672562,0.7678395042211077,0.5236000322353602,-0.07816374285714314,5.000012,-0.07816374285714314
7.5,1191853.3125360513,10070873.138491552,5632675.646064005,0.48185070128397556,0.7646836830660103,0.5593036044248776,-0.05496465714285731,5.340956,-0.05496465714285731
8.0,1350937.8248872964,11482504.860752,6832172.797657113,0.48158219635997424,0.761792916101993,0.5950071766143948,-0.03176557142857147,5.6819,-0.03176557142857147
8.5,1523523.9298005998,12962135.109850025,8193722.771079792,0.4815107981248217,0.7610145684832527,0.6321275547308035,-0.015620642857142878,6.0363735,-0.015620642857142878
9.0,1706304.5485114683,14531134.042664194,9724931.419978768,0.4814382161502588,0.7602441233890005,0.6692479328472123,0.0005242857142857139,6.390847,0.0005242857142857139
9.5,1901293.9284586695,16189504.537838759,11437602.614528267,0.4814439457628267,0.7602975533691513,0.7064825602164565,0.0005404428571428567,6.7464115,0.0005404428571428567
10.0,2106829.914777913,17937462.563628446,13340399.21024554,0.4814490877845338,0.760345567326035,0.7437171875857007,0.0005565999999999995,7.101976,0.0005565999999999995
10.1,2151826.355289598,18299655.710158333,13747124.889117682,0.48153659663847803,0.7612827987824691,0.7512231435855106,-0.019472045714285666,7.1736526,-0.019472045714285666
10.255555555555555,2222855.90317076,18870144.90640827,14396016.096871186,0.48166633242143536,0.7627363943008552,0.7628990751407703,-0.050627716825396706,7.285149533333333,-0.050627716825396706
10.411111111111111,2295149.8379513025,19449232.53976917,15000000.0,0.47971307630416193,0.7641848487511358,0.77457500669603,-0.08178338793650809,7.396646466666667,-0.08178338793650809
10.566666666666666,2363421.3893669806,20069432.44016494,15000000.0,0.4588373667890065,0.7639179041565722,0.7847246408391036,-0.10537117142857175,7.493568333333333,-0.10537117142857175
10.722222222222221,2401916.236697454,20740382.322805602,15000000.0,0.4391555639819114,0.7539973027995808,0.7916799873478112,0.029205749206347525,7.559987,0.029205749206347525
10.877777777777778,2291737.973763573,21172101.130276315,15000000.0,0.4205835226149645,0.6989822356205402,0.7916799873478112,1.052227793650797,7.559987,1.052227793650797
11.033333333333333,2195637.1210082755,21377543.332233265,15000000.0,0.40304411483747565,0.6509215182233307,0.7916799873478112,1.9163940066666647,7.559987,1.9163940066666647
11.188888888888888,2186263.639384463,21915970.086329266,15000000.0,0.386466556831298,0.6302460781523292,0.7916799873478112,2.1980888377777745,7.559987,2.1980888377777745
11.344444444444445,2175908.6278812247,22426061.30576366,15000000.0,0.37078580827367996,0.6101768564031886,0.7916799873478112,2.4797836688888877,7.559987,2.4797836688888877
11.5,2164622.7399865696,22909106.06401371,15000000.0,0.3559420359003758,0.5907015058540865,0.7916799873478112,2.7614784999999977,7.559987,2.7614784999999977
11.6,2156927.8234736566,23206078.172422923,15000000.0,0.34681576725802626,0.5784970870007419,0.7916799873478112,2.9425680342857112,7.559987,2.9425680342857112
12.557142857142857,2068851.8219295072,25560671.177605603,15000000.0,0.2734011242234069,0.4735101122639459,0.7916799873478112,4.67585357673469,7.559987,4.67585357673469
13.514285714285714,1952761.2599033508,27031448.6615551,15000000.0,0.21932771398302586,0.38587309645942636,0.7916799873478112,6.454227943673465,7.559987,6.454227943673465
14.471428571428572,1814962.513392448,27665138.65597781,15000000.0,0.1786234960464179,0.312770936834964,0.7916799873478112,8.271428798367342,7.559987,8.271428798367342
15.428571428571429,1715604.2965418543,28368894.392349858,15000000.0,0.1473993793347563,0.26010412302271935,0.7916799873478112,9.823765891836729,7.559987,9.823765891836729
16.385714285714286,1671550.5093943356,29677066.05375225,15000000.0,0.12304859737596817,0.22468303964837585,0.7916799873478112,11.049437679795911,7.559987,11.049437679795911
17.34285714285714,1629233.0125624293,30855537.106471844,15000000.0,0.10377932964029224,0.19548950646102584,0.7916799873478112,12.242272354285705,7.559987,12.242272354285705
18.3,1594466.748415419,32038150.84554133,15000000.0,0.08833229863259627,0.17182835383654615,0.7916799873478112,13.37627386714285,7.559987,13.37627386714285
19.257142857142856,1559893.7455817729,33104922.249494173,15000000.0,0.07580489397890998,0.1518073693742415,0.7916799873478112,14.490449114693869,7.559987,14.490449114693869
20.214285714285715,1532736.2223530975,34224838.214625046,15000000.0,0.06553866665756412,0.13537303430128084,0.7916799873478112,15.55065286224489,7.559987,15.55065286224489
21.17142857142857,1504455.5499034382,35224472.41614107,15000000.0,0.057045620751667074,0.12113247075525985,0.7916799873478112,16.602709809795908,7.559987,16.602709809795908
22.128571428571426,1478659.2670270593,36223612.53145898,15000000.0,0.04995887705363075,0.10897901948398107,0.7916799873478112,17.617427257346925,7.559987,17.617427257346925
23.085714285714285,1452486.681320496,37151119.57139023,15000000.0,0.04399900465140175,0.0983574063695159,0.7916799873478112,18.627168837551007,7.559987,18.627168837551007
24.042857142857144,1446239.538720703,38363777.07601027,15000000.0,0.03895063779033299,0.09029207232474587,0.7916799873478112,19.586322433061216,7.559987,19.586322433061216
25.0,1430732.018047234,39457327.67034847,15000000.0,0.03464597400639898,0.08261517384564539,0.7916799873478112,20.54547602857142,7.559987,20.54547602857142
